"FileName","RelationType","Entity1Mention","Entity1Type","Entity2Mention","Entity2Type","Context"
"dukes_whitepaper","hasproduct","Microsoft","ORG","Word","PRODUCT","When malicious attachments are used , they may either be designed to exploit a vulnerability in a popular software assumed to be installed on the victimâ€ ™ s machine , such as Microsoft Word or Adobe Reader , or the attachment itself may have its icon and filename obfuscated in such a way that the file does not appear to be an executable . "
"Operation-Blockbuster-Report","hasattacklocation","SPE","ORG","North Korea","GPE","The SPE attack broke new ground not only as a destructive malware attack on a U.S. commercial entity but also due to the fact that the U.S. government attributed the attack to North Korea and enacted small reciprocal measures.1 While the debate over who was responsible â€ “ North Korea , hacktivists , or SPE employees â€ “ was the primary subject played out in the media , the attack presented much larger implications , such as how little resistance a modern commercial enterprise is able to provide in the face of a capable and determined adversary with destructive intent . "
"Operation-Blockbuster-Report","hasattacklocation","SPE","ORG","North Korea","GPE","The SPE attack broke new ground not only as a destructive malware attack on a U.S. commercial entity but also due to the fact that the U.S. government attributed the attack to North Korea and enacted small reciprocal measures.1 While the debate over who was responsible â€ “ North Korea , hacktivists , or SPE employees â€ “ was the primary subject played out in the media , the attack presented much larger implications , such as how little resistance a modern commercial enterprise is able to provide in the face of a capable and determined adversary with destructive intent . "
"butterfly-corporate-spies-out-for-financial-gain","hasattacklocation","Butterfly","PERSON","Japan","GPE","Butterfly since 2012 are shown in Figure 2 . The other regions affected by Butterflyâ€ ™ s attacks are : â€¢ Brazil â€¢ China â€¢ Hong Kong â€¢ India â€¢ Israel â€¢ Japan â€¢ Kazakhstan â€¢ Malaysia â€¢ Morocco â€¢ Nigeria â€¢ Taiwan â€¢ Thailand â€¢ South Korea â€¢ United Arab Emirates Figure 1 . "
"Operation Daybreak","hasproduct","Adobe","ORG","Flash","PRODUCT","Adobe Flash and one for Microsoft Internet Explorer . "
"PWC_Taiwan-Presidential-Election-A-Case-Study-on-Thematic-Targeting(Mar-17-2016)","hasproduct","Microsoft","ORG","Word","PRODUCT","The binary uses the standard Microsoft Word icon , shown below , to trick users into thinking the file is a legitimate Microsoft "
"Carbanak_APT_eng","hasproduct","Microsoft","ORG","Windows","PRODUCT","This indicates that the attackers did not limit themselves to Microsoft Windows environments . "
"Dissecting-the-Kraken","hasproduct","Microsoft","ORG","Windows","PRODUCT","The folders & bot files simply have the â€hiddenâ€ attribute set in Microsoft Windows . "
"Operation Daybreak","hasproduct","Adobe","ORG","Flash","PRODUCT","Adobe Flash zero day exploit ( CVE-2016 - 1010 ) . "
"PaloAlto_t9000-advanced-modular-backdoor-uses-complex-anti-analysis-techniques.2016.02.04","hasproduct","Microsoft","ORG","Windows","PRODUCT","The path of these folders is determined by the version of Microsoft Windows running . "
"dukes_whitepaper","hasproduct","Microsoft","ORG","Windows","PRODUCT","Specifically , on the 19th of January 2010 security researcher Tavis Ormandy disclosed a local privilege escalation vulnerability ( CVE-2010 - 0232 ) affecting Microsoft Windows . "
"Operation Daybreak","hasproduct","Microsoft","ORG","Internet  Explorer","PRODUCT","Adobe Flash and one for Microsoft Internet Explorer . "
"butterfly-corporate-spies-out-for-financial-gain","hasattacklocation","Butterfly","PERSON","Thailand","GPE","Butterfly since 2012 are shown in Figure 2 . The other regions affected by Butterflyâ€ ™ s attacks are : â€¢ Brazil â€¢ China â€¢ Hong Kong â€¢ India â€¢ Israel â€¢ Japan â€¢ Kazakhstan â€¢ Malaysia â€¢ Morocco â€¢ Nigeria â€¢ Taiwan â€¢ Thailand â€¢ South Korea â€¢ United Arab Emirates Figure 1 . "
"Operation-Blockbuster-Destructive-Malware-Report","hasproduct","Windows","ORG","Vista","PRODUCT","The WhiskeyDelta change in behavior based on the operating systemâ€ ™ s version relates to the changes that were introduced with Windows Vista and newer regarding the way raw disk access is handled:9 Vista and newer versions of Windows can only access the boot sectors via the \\.\PhysicalDrive interface . "
"Operation-DustySky2_-6.2016_TLP_White","hasattacklocation","Hotmail","ORG","Egypt","GPE","About 60 % of targeted the email addresses where Gmail , Hotmail and Yahoo accounts . The rest of the email accounts were in organizations - both private and governmental . We searched for information about the targets in order to learn the interests of the attackers . Below are examples of targeted individuals and organizations : ï ‚ · Several diplomats and employees of the ministry of foreign affairs in Egypt ( 20 emails addresses at mfa.gov.eg , investment.gov.eg and other offices ) . "
"report_jaku_analysis_of_botnet_campaign_en_0","hasattacklocation","JAKU","ORG","China","GPE","The JAKU campaign covers the majority of countries across the world , 134 at the last count . Between September 2015 and May 2016 , there were an estimated 19,000 unique victims . Over 87 % of victim computers were in one of four countries : South Korea ( 42 % ) , Japan ( 31 % ) , China ( 8 % ) and the United States ( 6 % ) . "
"PaloAlto_t9000-advanced-modular-backdoor-uses-complex-anti-analysis-techniques.2016.02.04","hasproduct","Microsoft","ORG","Windows","PRODUCT","In such a situation , the malware will find and run the built - in Microsoft Windows InfDefaultInstall.exe program , which will install a DLL via an INF file . "
"Operation-Blockbuster-Destructive-Malware-Report","hasproduct","DeltaAlfa  DeltaAlfa","ORG","DLL","PRODUCT","skmsvxd.dat skinpfu.dat dasrrvm.dat doqmcru.dat Table 6 - 1 : Known Filenames of the Start and Target Files for DeltaAlfa DeltaAlfa operates as a service DLL supported by svchost . "
